County	Pct_Voted	MedianAge	MeanSavings	Pct_Poverty	PopulationDensity	Gender
Otsego, NY	39.36	33.1	91377	13.5	61	M
Pike, KY	61.81	32.4	104549	26	92.8	F
Atoka, OK	45.21	34.8	60963	28.3	13.4	M
St. Landry, LA	55.37	30.9	68097	32.6	87.3	F
Williamson, TN	32.47	34.1	109751	6.8	151.9	M
Lincoln, NV	27.52	33.4	55900	11.7	0.4	M
Putnam, WV	39.12	34.2	73704	12.3	130.8	M
Douglas, CO	24.94	32.3	31325	2.8	87	M
Douglas, KS	45.99	25.8	51493	13.6	184.5	F
Hinds, MS	45.23	30.8	117964	26.1	291.8	M
Crittenden, AR	56.6	29.8	47128	28	81.2	F
Hughes, SD	31.74	33.3	116136	10.7	20.5	M
Jefferson, LA	34.38	32.3	57976	16.9	1490.4	F
Brevard, FL	31.19	36.2	67498	11.6	417.5	M
Madison, TX	39.99	29.9	160448	28.1	23.6	M
Rock, MN	37.58	36.6	170677	9.6	20.3	F
Washington, MO	52.57	31.6	52996	28.1	27.4	M
York, VA	31.14	32.8	37189	5.5	550.3	F
Scotts Bluff, NE	27.92	35.1	138854	16.3	49.5	M
Kosciusko, IN	21.5	32.2	88646	7.8	122.6	F
St. Charles, LA	42.2	30.3	49900	14.8	155.4	F
Hudson, NJ	53.93	33.1	102236	18.2	11845.8	M
Stark, OH	40.02	35	62019	12.7	644.7	M
Franklin, TX	40.04	37.8	83366	16.2	28	M
Jack, TX	37.47	37.1	151563	17.5	7.4	M
Mitchell, KS	25.7	37.7	174610	10.4	10.3	F
Ravalli, MT	30.92	37.8	67103	15.5	11.5	M
De Kalb, MO	39.08	33.7	72136	17.4	23.6	M
Holmes, FL	28.75	35.6	46441	24.6	33.8	M
Oscoda, MI	38.4	40	46894	19.1	14.5	F
Jefferson, PA	33.87	35.8	126277	14.3	70.6	M
Monroe, WI	38.24	33.7	67724	12.2	41.8	M
Taos, NM	66.01	33.9	62117	26.6	10.9	M
Wicomico, MD	37.93	33.2	85508	13.3	203.3	F
Otoe, NE	29.8	38.2	127641	10	23.4	M
Grant, MN	42.58	40.7	132435	13.4	11.3	F
Eastland, TX	37.6	39	76864	21.6	19.4	M
Ward, TX	38.33	30.5	80102	19.9	15	M
Union, IL	51.54	38	97719	18.2	43	F
Scott, TN	42.54	31.8	73209	30.5	35.3	M
Chase, NE	19.12	36.8	207065	11.1	4.8	M
Hitchcock, NE	20.74	37.5	92222	11.5	5.1	M
Sandoval, NM	46.45	30.8	26453	14.8	18.5	M
Cecil, MD	37.45	32.6	52592	9	214.2	F
Josephine, OR	32.8	39.9	60464	19.1	40	M
Arapahoe, CO	36.21	32.4	59827	6.7	523.7	M
Allendale, SC	62.49	30	47461	34.3	28.9	M
Cannon, TN	59.87	35.4	89868	15.4	40.6	M
Madison, FL	45.36	32.3	47323	23.8	24.1	M
Clarendon, SC	55.12	32.7	40920	29.8	47.3	M
Anderson, KY	38.49	33.6	83164	9.5	77	F
Union, AR	47.29	34.5	113471	19.2	44.9	M
Juneau, WI	38	35.5	74641	12.9	28.9	M
Kent, MD	40.55	36.6	138805	10.4	65.9	F
Cassia, ID	17.73	29.2	100296	15.6	7.9	F
Bennett, SD	34.5	29.2	46000	33.4	2.6	M
Marion, KY	53.81	32.3	91448	22.2	47.9	F
Clermont, OH	27.37	31.2	38126	9.4	349	M
Dunklin, MO	54.68	36.1	102918	28.2	60.5	M
Stonewall, TX	49.87	38	109265	15.4	2.2	M
Cheyenne, KS	23.19	41.8	205700	10.8	3.1	F
Oglethorpe, GA	40.26	33.5	43697	16.5	23.1	F
McCone, MT	31.31	36	82186	12.3	0.8	M
Lyon, KY	58.56	38.4	48806	15.8	33.4	F
Marion, GA	55.69	32.1	35486	24.1	15.5	F
La Salle, IL	46.62	35.5	107258	10.1	95.2	F
Portage, OH	42.37	30	43414	10.6	296.7	M
Live Oak, TX	33.92	36.4	98188	19.4	9.5	M
Gibson, IN	46.68	35.1	86094	9.2	65	F
Wilson, KS	28.72	39.1	106299	16	17.6	F
Fillmore, NE	28.37	38.3	204534	9	12.1	M
Jasper, IL	41.68	34.4	141455	11	21.4	F
Dunn, WI	43.72	28.5	57523	12.9	43	M
Lee, AL	38.8	26.2	72622	18.5	146.8	F
Socorro, NM	47.77	30	56037	31.2	2.3	M
White, TN	57.99	36.7	112414	18.5	54.4	M
St. Louis city, MO	69.44	32.8	174287	32.5	6216.5	M
Towner, ND	42.57	38	146935	12.7	3.3	M
Fulton, NY	36.77	35.2	82657	14.1	109.6	M
Mercer, ND	26.37	32.4	92305	7.7	9.1	M
Breckinridge, KY	44.39	35.4	76299	24	28.8	F
Washington, RI	43.46	32.7	94271	7.8	339.4	M
Greene, IN	39.91	35.9	93722	13	57.9	F
Baylor, TX	46.44	42.9	133033	19.7	4.9	M
Harrison, OH	48.93	36.8	76324	18.7	39.6	M
Hunterdon, NJ	28.57	35.2	119068	3.2	259.7	M
Boone, MO	45.22	27.7	80629	14	170.6	M
Seneca, OH	35.49	32.5	84383	12.1	108.8	M
Lamar, TX	38.96	35.1	86887	19.9	48.3	M
Dooly, GA	58.84	32.8	78470	29	25.4	F
Henry, GA	32.19	31.9	51437	7.4	209.5	F
Coffee, AL	37.19	34.1	79268	14.9	60.5	F
Cumberland, NC	46.98	27.3	41192	15.5	424.4	M
Charles Mix, SD	39.99	33.9	120446	23.1	8.5	M
Hertford, NC	60.08	33.6	93279	25.2	63.6	M
Lafourche, LA	45.4	29.4	88406	21.2	79.6	F
Hays, TX	39.76	26.6	40742	16	100.9	M
Osceola, IA	27.5	36.1	145111	9.1	18.1	F
Watauga, NC	42.98	27.8	83802	16	122.2	M
Lincoln, AR	64.53	32.2	39478	29	24.8	M
Chautauqua, NY	36.07	34.3	80771	17.1	133.7	M
Sutton, TX	32.79	32.4	133579	17.3	2.9	M
Hall, TX	47.78	42.9	130723	27.7	4.3	M
Garvin, OK	40.55	37	91850	20.6	32.9	M
Hale, TX	26.98	29.6	90336	23.4	35.1	M
Santa Cruz, CA	58.06	33	64480	13.8	519.2	M
Putnam, NY	34.05	33.7	78450	4.5	375.8	M
Rhea, TN	41.45	34.6	54596	19.7	80.1	M
Gasconade, MO	30.82	37.6	78803	11.7	27.3	M
Story, IA	47.14	25.9	84890	10.4	129.9	F
Caddo, LA	46.49	32.7	94790	25.3	279.6	F
Benewah, ID	34.3	34.6	77437	13.9	10.4	F
Cherokee, AL	53.61	36.3	56386	15.4	35.8	F
Tuscola, MI	37.05	33	62992	14.2	69	F
Dickinson, MI	43.66	36.3	89015	9.6	35.4	F
Isabella, MI	39.86	24.5	56935	18.5	98.2	F
Lee, IA	54.61	35.8	103853	13.1	75.6	F
George, MS	27.87	30.9	57531	21.8	36	F
Miller, AR	48.21	32.7	117603	22.8	61.8	M
Lorain, OH	42.97	32.8	53201	11.7	560.7	M
Polk, NC	39.02	43.3	84842	9.4	63.1	M
Polk, FL	35.26	36.5	76139	17.9	223.5	M
Adams, OH	37.16	32.9	61507	23.2	45.2	M
